,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
135,136.0,0.0,2.0,"Richard, Mr. Emile",male,23.0,0.0,0.0,SC/PARIS 2133,15.0458,,C
136,137.0,1.0,1.0,"Newsom, Miss. Helen Monypeny",female,19.0,0.0,2.0,11752,26.2833,D47,S
137,138.0,0.0,1.0,"Futrelle, Mr. Jacques Heath",male,37.0,1.0,0.0,113803,53.1,C123,S
138,139.0,0.0,3.0,"Osen, Mr. Olaf Elon",male,16.0,0.0,0.0,7534,9.2167,,S
139,140.0,0.0,1.0,"Giglio, Mr. Victor",male,24.0,0.0,0.0,PC 17593,79.2,B86,C
140,141.0,0.0,3.0,"Boulos, Mrs. Joseph (Sultana)",female,,0.0,2.0,2678,15.2458,,C
141,142.0,1.0,3.0,"Nysten, Miss. Anna Sofia",female,22.0,0.0,0.0,347081,7.75,,S
142,143.0,1.0,3.0,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1.0,0.0,STON/O2. 3101279,15.85,,S
143,144.0,0.0,3.0,"Burke, Mr. Jeremiah",male,19.0,0.0,0.0,365222,6.75,,Q
144,145.0,0.0,2.0,"Andrew, Mr. Edgardo Samuel",male,18.0,0.0,0.0,231945,11.5,,S
145,146.0,0.0,2.0,"Nicholls, Mr. Joseph Charles",male,19.0,1.0,1.0,C.A. 33112,36.75,,S
146,147.0,1.0,3.0,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0.0,0.0,350043,7.7958,,S
147,148.0,0.0,3.0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2.0,2.0,W./C. 6608,34.375,,S
148,149.0,0.0,2.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0.0,2.0,230080,26.0,F2,S
149,150.0,0.0,2.0,"Byles, Rev. Thomas Roussel Davids",male,42.0,0.0,0.0,244310,13.0,,S
150,151.0,0.0,2.0,"Bateman, Rev. Robert James",male,51.0,0.0,0.0,S.O.P. 1166,12.525,,S
151,152.0,1.0,1.0,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1.0,0.0,113776,66.6,C2,S
152,153.0,0.0,3.0,"Meo, Mr. Alfonzo",male,55.5,0.0,0.0,A.5. 11206,8.05,,S
153,154.0,0.0,3.0,"van Billiard, Mr. Austin Blyler",male,40.5,0.0,2.0,A/5. 851,14.5,,S
154,155.0,0.0,3.0,"Olsen, Mr. Ole Martin",male,,0.0,0.0,Fa 265302,7.3125,,S
155,156.0,0.0,1.0,"Williams, Mr. Charles Duane",male,51.0,0.0,1.0,PC 17597,61.3792,,C
156,157.0,1.0,3.0,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0.0,0.0,35851,7.7333,,Q
157,158.0,0.0,3.0,"Corn, Mr. Harry",male,30.0,0.0,0.0,SOTON/OQ 392090,8.05,,S
158,159.0,0.0,3.0,"Smiljanic, Mr. Mile",male,,0.0,0.0,315037,8.6625,,S
159,160.0,0.0,3.0,"Sage, Master. Thomas Henry",male,,8.0,2.0,CA. 2343,69.55,,S
160,161.0,0.0,3.0,"Cribb, Mr. John Hatfield",male,44.0,0.0,1.0,371362,16.1,,S
161,162.0,1.0,2.0,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0.0,0.0,C.A. 33595,15.75,,S
162,163.0,0.0,3.0,"Bengtsson, Mr. John Viktor",male,26.0,0.0,0.0,347068,7.775,,S
163,164.0,0.0,3.0,"Calic, Mr. Jovo",male,17.0,0.0,0.0,315093,8.6625,,S
164,165.0,0.0,3.0,"Panula, Master. Eino Viljami",male,1.0,4.0,1.0,3101295,39.6875,,S
165,166.0,1.0,3.0,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0.0,2.0,363291,20.525,,S
166,167.0,1.0,1.0,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0.0,1.0,113505,55.0,E33,S
167,168.0,0.0,3.0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1.0,4.0,347088,27.9,,S
168,169.0,0.0,1.0,"Baumann, Mr. John D",male,,0.0,0.0,PC 17318,25.925,,S
169,170.0,0.0,3.0,"Ling, Mr. Lee",male,28.0,0.0,0.0,1601,56.4958,,S
170,171.0,0.0,1.0,"Van der hoef, Mr. Wyckoff",male,61.0,0.0,0.0,111240,33.5,B19,S
171,172.0,0.0,3.0,"Rice, Master. Arthur",male,4.0,4.0,1.0,382652,29.125,,Q
172,173.0,1.0,3.0,"Johnson, Miss. Eleanor Ileen",female,1.0,1.0,1.0,347742,11.1333,,S
173,174.0,0.0,3.0,"Sivola, Mr. Antti Wilhelm",male,21.0,0.0,0.0,STON/O 2. 3101280,7.925,,S
174,175.0,0.0,1.0,"Smith, Mr. James Clinch",male,56.0,0.0,0.0,17764,30.6958,A7,C
175,176.0,0.0,3.0,"Klasen, Mr. Klas Albin",male,18.0,1.0,1.0,350404,7.8542,,S
176,177.0,0.0,3.0,"Lefebre, Master. Henry Forbes",male,,3.0,1.0,4133,25.4667,,S
177,178.0,0.0,1.0,"Isham, Miss. Ann Elizabeth",female,50.0,0.0,0.0,PC 17595,28.7125,C49,C
178,179.0,0.0,2.0,"Hale, Mr. Reginald",male,30.0,0.0,0.0,250653,13.0,,S
179,180.0,0.0,3.0,"Leonard, Mr. Lionel",male,36.0,0.0,0.0,LINE,0.0,,S
180,181.0,0.0,3.0,"Sage, Miss. Constance Gladys",female,,8.0,2.0,CA. 2343,69.55,,S
181,182.0,0.0,2.0,"Pernot, Mr. Rene",male,,0.0,0.0,SC/PARIS 2131,15.05,,C
182,183.0,0.0,3.0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4.0,2.0,347077,31.3875,,S
183,184.0,1.0,2.0,"Becker, Master. Richard F",male,1.0,2.0,1.0,230136,39.0,F4,S
184,185.0,1.0,3.0,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0.0,2.0,315153,22.025,,S
185,186.0,0.0,1.0,"Rood, Mr. Hugh Roscoe",male,,0.0,0.0,113767,50.0,A32,S
186,187.0,1.0,3.0,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1.0,0.0,370365,15.5,,Q
187,188.0,1.0,1.0,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0.0,0.0,111428,26.55,,S
188,189.0,0.0,3.0,"Bourke, Mr. John",male,40.0,1.0,1.0,364849,15.5,,Q
189,190.0,0.0,3.0,"Turcin, Mr. Stjepan",male,36.0,0.0,0.0,349247,7.8958,,S
190,191.0,1.0,2.0,"Pinsky, Mrs. (Rosa)",female,32.0,0.0,0.0,234604,13.0,,S
191,192.0,0.0,2.0,"Carbines, Mr. William",male,19.0,0.0,0.0,28424,13.0,,S
192,193.0,1.0,3.0,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1.0,0.0,350046,7.8542,,S
193,194.0,1.0,2.0,"Navratil, Master. Michel M",male,3.0,1.0,1.0,230080,26.0,F2,S
194,195.0,1.0,1.0,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0.0,0.0,PC 17610,27.7208,B4,C
195,196.0,1.0,1.0,"Lurette, Miss. Elise",female,58.0,0.0,0.0,PC 17569,146.5208,B80,C
196,197.0,0.0,3.0,"Mernagh, Mr. Robert",male,,0.0,0.0,368703,7.75,,Q
197,198.0,0.0,3.0,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0.0,1.0,4579,8.4042,,S
198,199.0,1.0,3.0,"Madigan, Miss. Margaret ""Maggie""",female,,0.0,0.0,370370,7.75,,Q
199,200.0,0.0,2.0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0.0,0.0,248747,13.0,,S
200,201.0,0.0,3.0,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0.0,0.0,345770,9.5,,S
201,202.0,0.0,3.0,"Sage, Mr. Frederick",male,,8.0,2.0,CA. 2343,69.55,,S
202,203.0,0.0,3.0,"Johanson, Mr. Jakob Alfred",male,34.0,0.0,0.0,3101264,6.4958,,S
203,204.0,0.0,3.0,"Youseff, Mr. Gerious",male,45.5,0.0,0.0,2628,7.225,,C
204,205.0,1.0,3.0,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0.0,0.0,A/5 3540,8.05,,S
205,206.0,0.0,3.0,"Strom, Miss. Telma Matilda",female,2.0,0.0,1.0,347054,10.4625,G6,S
206,207.0,0.0,3.0,"Backstrom, Mr. Karl Alfred",male,32.0,1.0,0.0,3101278,15.85,,S
207,208.0,1.0,3.0,"Albimona, Mr. Nassef Cassem",male,26.0,0.0,0.0,2699,18.7875,,C
208,209.0,1.0,3.0,"Carr, Miss. Helen ""Ellen""",female,16.0,0.0,0.0,367231,7.75,,Q
209,210.0,1.0,1.0,"Blank, Mr. Henry",male,40.0,0.0,0.0,112277,31.0,A31,C
210,211.0,0.0,3.0,"Ali, Mr. Ahmed",male,24.0,0.0,0.0,SOTON/O.Q. 3101311,7.05,,S
211,212.0,1.0,2.0,"Cameron, Miss. Clear Annie",female,35.0,0.0,0.0,F.C.C. 13528,21.0,,S
212,213.0,0.0,3.0,"Perkin, Mr. John Henry",male,22.0,0.0,0.0,A/5 21174,7.25,,S
213,214.0,0.0,2.0,"Givard, Mr. Hans Kristensen",male,30.0,0.0,0.0,250646,13.0,,S
214,215.0,0.0,3.0,"Kiernan, Mr. Philip",male,,1.0,0.0,367229,7.75,,Q
215,216.0,1.0,1.0,"Newell, Miss. Madeleine",female,31.0,1.0,0.0,35273,113.275,D36,C
216,217.0,1.0,3.0,"Honkanen, Miss. Eliina",female,27.0,0.0,0.0,STON/O2. 3101283,7.925,,S
217,218.0,0.0,2.0,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1.0,0.0,243847,27.0,,S
218,219.0,1.0,1.0,"Bazzani, Miss. Albina",female,32.0,0.0,0.0,11813,76.2917,D15,C
219,220.0,0.0,2.0,"Harris, Mr. Walter",male,30.0,0.0,0.0,W/C 14208,10.5,,S
220,221.0,1.0,3.0,"Sunderland, Mr. Victor Francis",male,16.0,0.0,0.0,SOTON/OQ 392089,8.05,,S
221,222.0,0.0,2.0,"Bracken, Mr. James H",male,27.0,0.0,0.0,220367,13.0,,S
222,223.0,0.0,3.0,"Green, Mr. George Henry",male,51.0,0.0,0.0,21440,8.05,,S
223,224.0,0.0,3.0,"Nenkoff, Mr. Christo",male,,0.0,0.0,349234,7.8958,,S
224,225.0,1.0,1.0,"Hoyt, Mr. Frederick Maxfield",male,38.0,1.0,0.0,19943,90.0,C93,S
225,226.0,0.0,3.0,"Berglund, Mr. Karl Ivar Sven",male,22.0,0.0,0.0,PP 4348,9.35,,S
226,227.0,1.0,2.0,"Mellors, Mr. William John",male,19.0,0.0,0.0,SW/PP 751,10.5,,S
227,228.0,0.0,3.0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0.0,0.0,A/5 21173,7.25,,S
228,229.0,0.0,2.0,"Fahlstrom, Mr. Arne Jonas",male,18.0,0.0,0.0,236171,13.0,,S
229,230.0,0.0,3.0,"Lefebre, Miss. Mathilde",female,,3.0,1.0,4133,25.4667,,S
230,231.0,1.0,1.0,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1.0,0.0,36973,83.475,C83,S
231,232.0,0.0,3.0,"Larsson, Mr. Bengt Edvin",male,29.0,0.0,0.0,347067,7.775,,S
232,233.0,0.0,2.0,"Sjostedt, Mr. Ernst Adolf",male,59.0,0.0,0.0,237442,13.5,,S
233,234.0,1.0,3.0,"Asplund, Miss. Lillian Gertrud",female,5.0,4.0,2.0,347077,31.3875,,S
234,235.0,0.0,2.0,"Leyson, Mr. Robert William Norman",male,24.0,0.0,0.0,C.A. 29566,10.5,,S
235,236.0,0.0,3.0,"Harknett, Miss. Alice Phoebe",female,,0.0,0.0,W./C. 6609,7.55,,S
